strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/NorthCarolina/A02636370/2022	OM865212	H3N2	2022-01-05	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02636396/2022	OM865232	H3N2	2022-01-27	Swine	Usa	?	Swine	swine	Swine
A/swine/Italy/1034/2020	MW244304	H3N2	2020-01-03	Swine	Italy	?	Swine	swine	Swine
A/swine/Italy/124375/2020	MW244305	H3N2	2020-05-07	Swine	Italy	?	Swine	swine	Swine
A/swine/Italy/56910/2020	MW244308	H3N2	2020-02-14	Swine	Italy	?	Swine	swine	Swine
A/swine/Italy/75697/2020	MW244309	H3N2	2020-03-02	Swine	Italy	?	Swine	swine	Swine
A/SouthKorea/MDCK/2020	OM679367	H3N2	2020-12-14	Human	South korea	?	Human	human	Human
A/swine/Iowa/A02636296/2021	OM504685	H3N2	2021-09-30	Swine	Usa	?	Swine	swine	Swine
A/swine/Missouri/A02636322/2021	OM504687	H3N2	2021-09-27	Swine	Usa	?	Swine	swine	Swine
A/Pennsylvania/01/2021	OM405821	H3N2	2021-03-19	Human	Usa	?	Human	human	Human
A/swine/Minnesota/A02246907/2021	OM315080	H3N2	2021-12-29	Swine	Usa	?	Swine	swine	Swine
A/swine/Michigan/A02246908/2021	OM315100	H3N2	2021-12-30	Swine	Usa	?	Swine	swine	Swine
A/duck/Vietnam/HN6617/2020	MW872800	H3N2	2020-09-29	Avian	Viet nam	?	Duck	duck	Anseriformes
A/duck/Vietnam/HN6479/2020	MW872910	H3N2	2020-07-29	Avian	Viet nam	?	Duck	duck	Anseriformes
A/Muscovyduck/Vietnam/HN6220/2020	MW872988	H3N2	2020-04-03	Avian	Viet nam	?	Duck	duck	Anseriformes
A/duck/Vietnam/HN6425/2020	MW873033	H3N2	2020-07-03	Avian	Viet nam	?	Duck	duck	Anseriformes
A/duck/Vietnam/HN6569/2020	MW873047	H3N2	2020-09-04	Avian	Viet nam	?	Duck	duck	Anseriformes
A/Muscovyduck/Vietnam/QN6305/2020	MW873329	H3N2	2020-05-22	Avian	Viet nam	?	Duck	duck	Anseriformes
A/swine/Chile/VN1401-5054/2020	MZ005227	H3N2	2020-05-11	Swine	Chile	?	Swine	swine	Swine
A/swine/Kansas/A02246982/2021	OL840592	H3N2	2021-10-22	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02246983/2021	OL840602	H3N2	2021-10-25	Swine	Usa	?	Swine	swine	Swine
A/France/IHUMI_InfluenzaAH3N2_genome_60678_4/2021	OL423271	H3N2	2021-07-XX	Human	France	?	Human	human	Human
A/swine/Iowa/A02248201/2021	OL331036	H3N2	2021-09-27	Swine	Usa	?	Swine	swine	Swine
A/swine/NorthCarolina/A02636172/2021	OL331224	H3N2	2021-09-16	Swine	Usa	?	Swine	swine	Swine
A/swine/Missouri/A02636185/2021	OL331232	H3N2	2021-09-23	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02636183/2021	OL331238	H3N2	2021-09-23	Swine	Usa	?	Swine	swine	Swine
